,stock_id,date,open,high,low,close,volume,index_value,ticker
0,1,2024-11-29,141.99,142.05,131.8,138.25,903463597,1.79,NVDA
1,1,2024-11-22,139.5,152.89,137.15,141.95,1396925283,3.21,NVDA
2,1,2024-11-15,148.68,149.65,140.08,141.98,1017459795,1.87,NVDA
3,1,2024-11-08,137.21,149.77,135.57,147.63,973098624,2.04,NVDA
4,1,2024-11-01,143.0,143.14,132.1106,135.4,987765940,1.65,NVDA
5,1,2024-10-25,138.13,144.42,137.46,141.54,1154273138,2.11,NVDA
6,1,2024-10-18,136.47,140.89,128.74,138.0,1357584514,1.71,NVDA
7,1,2024-10-11,124.99,135.78,124.95,134.8,1290685141,1.94,NVDA
8,1,2024-10-04,118.31,125.04,115.14,124.92,1272577548,2.22,NVDA
9,1,2024-09-27,116.55,127.665,114.86,121.4,1419480253,2.07,NVDA
10,1,2024-09-20,116.79,119.66,113.22,116.0,1466985987,2.4,NVDA
11,1,2024-09-13,104.88,120.79,103.69,119.1,1589076945,2.03,NVDA
12,1,2024-09-06,116.01,116.21,100.95,102.83,1566022704,1.99,NVDA
13,1,2024-08-30,129.57,131.26,116.71,119.37,1869975248,2.35,NVDA
14,1,2024-08-23,124.28,130.75,123.1,129.37,1575723972,1.97,NVDA
15,1,2024-08-16,106.32,125.0,106.26,124.58,1598129482,2.02,NVDA
16,1,2024-08-09,92.06,108.8,90.69,104.75,2056049067,1.99,NVDA
17,1,2024-08-02,113.69,120.16,101.37,107.27,2213649314,1.83,NVDA
18,1,2024-07-26,120.35,124.69,106.3,113.06,1513222902,1.68,NVDA
19,1,2024-07-19,130.56,131.39,116.56,117.93,1351385198,1.98,NVDA
20,1,2024-07-12,127.49,136.15,127.04,129.24,1401139984,1.81,NVDA
21,1,2024-07-05,123.47,128.85,118.83,125.83,933185147,2.66,NVDA
22,1,2024-06-28,123.24,128.12,118.04,123.54,1832912673,2.37,NVDA
23,1,2024-06-21,132.99,140.76,124.3,126.57,1756092587,2.16,NVDA
24,2,2024-11-29,231.46,237.81,229.74,237.33,198118837,1.79,AAPL
25,2,2024-11-22,225.25,230.7199,225.17,229.87,196343939,3.21,AAPL
26,2,2024-11-15,225.0,228.87,221.5,225.0,223817755,1.87,AAPL
27,2,2024-11-08,220.99,228.66,219.71,226.96,208083442,2.04,AAPL
28,2,2024-11-01,233.32,234.73,220.27,222.91,248222115,1.65,AAPL
29,2,2024-10-25,234.45,236.85,227.76,231.41,197299834,2.11,AAPL
30,2,2024-10-18,228.7,237.49,228.6,235.0,218140974,1.71,AAPL
31,2,2024-10-11,224.5,229.75,221.33,227.55,164894870,1.94,AAPL
32,2,2024-10-04,230.04,233.0,223.02,226.8,222348300,2.22,AAPL
33,2,2024-09-27,227.34,229.52,224.02,227.79,210673480,2.07,AAPL
34,2,2024-09-20,216.54,233.09,213.92,228.2,550232897,2.4,AAPL
35,2,2024-09-13,220.82,224.04,216.71,222.5,237622914,2.03,AAPL
36,2,2024-09-06,228.55,229.0,217.48,220.82,178491741,1.99,AAPL
37,2,2024-08-30,226.76,232.92,223.8905,229.0,209486001,2.35,AAPL
38,2,2024-08-23,225.72,228.34,223.04,226.84,188124897,1.97,AAPL
39,2,2024-08-16,216.07,226.8271,215.6,226.05,214898250,2.02,AAPL
40,2,2024-08-09,199.09,216.78,196.0,216.24,342088289,1.99,AAPL
41,2,2024-08-02,216.96,225.6,215.75,219.86,296061436,1.83,AAPL
42,2,2024-07-26,227.01,227.78,214.62,217.96,242932215,1.68,AAPL
43,2,2024-07-19,236.48,237.23,222.27,224.31,278397452,1.98,AAPL
44,2,2024-07-12,227.09,233.08,223.25,230.54,287640514,1.81,AAPL
45,2,2024-07-05,212.09,226.45,211.92,226.34,216231316,2.66,AAPL
46,2,2024-06-28,207.72,216.07,206.59,210.62,335969485,2.37,AAPL
47,2,2024-06-21,213.37,218.95,207.11,207.49,506265358,2.16,AAPL
48,3,2024-11-29,199.28,208.2,199.0,207.89,135313494,1.79,AMZN
49,3,2024-11-22,204.15,205.3,195.75,197.12,190810207,3.21,AMZN
50,3,2024-11-15,208.5,215.9,199.61,202.61,249823326,1.87,AMZN
51,3,2024-11-08,196.45,212.25,194.3101,208.18,230303242,2.04,AMZN
52,3,2024-11-01,189.565,200.5,185.23,197.93,276163150,1.65,AMZN
53,3,2024-10-25,188.05,191.5201,183.69,187.83,137236530,2.11,AMZN
54,3,2024-10-18,189.78,190.74,184.58,188.99,140707228,1.71,AMZN
55,3,2024-10-11,182.95,189.9284,180.25,188.82,148616004,1.94,AMZN
56,3,2024-10-04,187.14,188.49,180.875,186.51,172712675,2.22,AMZN
57,3,2024-09-27,191.64,195.37,187.34,187.97,179200351,2.07,AMZN
58,3,2024-09-20,185.29,191.84,183.36,191.6,226527018,2.4,AMZN
59,3,2024-09-13,174.53,188.5,173.51,186.49,167953690,2.03,AMZN
60,3,2024-09-06,177.55,179.875,171.16,171.39,149137052,1.99,AMZN
61,3,2024-08-30,176.7,178.9,168.92,178.5,151090410,2.35,AMZN
62,3,2024-08-23,177.64,182.385,175.24,177.04,154181704,1.97,AMZN
63,3,2024-08-16,168.14,178.34,166.1101,177.06,181342195,2.02,AMZN
64,3,2024-08-09,154.21,168.55,151.61,166.94,272525762,1.99,AMZN
65,3,2024-08-02,183.84,190.6,160.55,167.9,326330023,1.83,AMZN
66,3,2024-07-26,185.0,189.39,176.8,182.5,202972080,1.68,AMZN
67,3,2024-07-19,194.56,196.62,180.11,183.13,216879535,1.98,AMZN
68,3,2024-07-12,200.04,201.2,192.86,194.49,175571316,1.81,AMZN
69,3,2024-07-05,193.49,200.55,192.82,200.0,158248835,2.66,AMZN
70,3,2024-06-28,189.33,199.84,185.33,193.25,312940430,2.37,AMZN
71,3,2024-06-21,182.52,189.275,181.22,189.08,189919597,2.16,AMZN
72,4,2024-11-29,418.38,429.0414,414.85,423.46,85754344,1.79,MSFT
73,4,2024-11-22,414.87,419.78,410.2887,417.0,107661985,3.21,MSFT
74,4,2024-11-15,422.515,429.325,413.64,415.0,123901235,1.87,MSFT
75,4,2024-11-08,409.8,426.85,405.5713,422.54,100773335,2.04,MSFT
76,4,2024-11-01,431.655,438.5,406.3,410.37,140477096,1.65,MSFT
77,4,2024-10-25,416.12,432.52,413.7501,428.15,89823386,2.11,MSFT
78,4,2024-10-18,417.77,424.04,410.48,418.16,83027540,1.71,MSFT
79,4,2024-10-11,416.0,420.38,408.17,416.32,83116599,1.94,MSFT
80,4,2024-10-04,428.21,430.42,414.29,416.06,85407142,2.22,MSFT
81,4,2024-09-27,434.28,436.46,426.1,428.02,74929184,2.07,MSFT
82,4,2024-09-20,430.6,441.85,428.22,435.27,128480635,2.4,MSFT
83,4,2024-09-13,407.24,431.83,402.15,430.59,87449658,2.03,MSFT
84,4,2024-09-06,417.91,419.88,400.8,401.7,69005355,1.99,MSFT
85,4,2024-08-30,416.365,422.05,407.31,417.14,82881966,2.35,MSFT
86,4,2024-08-23,418.96,426.7899,412.09,416.79,85544521,1.97,MSFT
87,4,2024-08-16,407.06,421.34,404.2434,418.47,97971871,2.02,MSFT
88,4,2024-08-09,389.17,410.08,385.58,406.02,125786365,1.99,MSFT
89,4,2024-08-02,431.58,432.15,404.34,408.49,150439080,1.83,MSFT
90,4,2024-07-26,441.79,448.39,417.27,425.27,109249239,1.68,MSFT
91,4,2024-07-19,453.3,457.26,432.0,437.11,95094386,1.98,MSFT
92,4,2024-07-12,466.55,467.7,450.645,453.55,87822377,1.81,MSFT
93,4,2024-07-05,448.66,468.35,445.66,467.56,57575717,2.66,MSFT
94,4,2024-06-28,449.8,456.17,446.41,446.95,92336873,2.37,MSFT
